Family, Component Name, Data Integration, Map/Reduce, Spark Batch, Spark Streaming, Storm, Camel
Authentication, tSetKeystore, No, No, No, No, No, No
Big Data, tBigQueryBulkExec, Yes, No, No, No, No, No
Big Data, tBigQueryInput, Yes, No, No, No, No, No
Big Data, tBigQueryOutput, Yes, No, No, No, No, No
Big Data, tBigQueryOutputBulk, Yes, No, No, No, No, No
Big Data, tBigQuerySQLRow, Yes, No, No, No, No, No
Big Data, tGSBucketCreate, Yes, No, No, No, No, No
Big Data, tGSBucketDelete, Yes, No, No, No, No, No
Big Data, tGSBucketExist, Yes, No, No, No, No, No
Big Data, tGSBucketList, Yes, No, No, No, No, No
Big Data, tGSClose, Yes, No, No, No, No, No
Big Data, tGSConnection, Yes, No, No, No, No, No
Big Data, tGSCopy, Yes, No, No, No, No, No
Big Data, tGSDelete, Yes, No, No, No, No, No
Big Data, tGSGet, Yes, No, No, No, No, No
Big Data, tGSList, Yes, No, No, No, No, No
Big Data, tGSPut, Yes, No, No, No, No, No
Big Data, tHiveClose, Yes, No, No, No, No, No
Big Data, tHiveConnection, Yes, No, No, No, No, No
Big Data, tHiveRow, Yes, No, No, No, No, No
Business, tBonitaDeploy, Yes, No, No, No, No, No
Business, tBonitaInstantiateProcess, Yes, No, No, No, No, No
Business, tCentricCRMInput, Yes, No, No, No, No, No
Business, tCentricCRMOutput, Yes, No, No, No, No, No
Business, tJIRAInput, Yes, No, No, No, No, No
Business, tJIRAOutput, Yes, No, No, No, No, No
Business, tMarketoBulkExec, Yes, No, No, No, No, No
Business, tMarketoCampaign, Yes, No, No, No, No, No
Business, tMarketoConnection, Yes, No, No, No, No, No
Business, tMarketoInput, Yes, No, No, No, No, No
Business, tMarketoListOperation, Yes, No, No, No, No, No
Business, tMarketoOutput, Yes, No, No, No, No, No
Business, tMicrosoftCrmInput, Yes, No, No, No, No, No
Business, tMicrosoftCrmOutput, Yes, No, No, No, No, No
Business, tMSAXInput, Yes, No, No, No, No, No
Business, tMSAXOutput, Yes, No, No, No, No, No
Business, tNetsuiteConnection, Yes, No, No, No, No, No
Business, tNetsuiteInput, Yes, No, No, No, No, No
Business, tNetsuiteOutput, Yes, No, No, No, No, No
Business, tOpenbravoERPInput, Yes, No, No, No, No, No
Business, tOpenbravoERPOutput, Yes, No, No, No, No, No
Business, tSageX3Input, Yes, No, No, No, No, No
Business, tSageX3Output, Yes, No, No, No, No, No
Business, tSalesforceBulkExec, Yes, No, No, No, No, No
Business, tSalesforceConnection, Yes, No, No, No, No, No
Business, tSalesforceEinsteinBulkExec, Yes, No, No, No, No, No
Business, tSalesforceEinsteinOutputBulkExec, Yes, No, No, No, No, No
Business, tSalesforceGetDeleted, Yes, No, No, No, No, No
Business, tSalesforceGetServerTimestamp, Yes, No, No, No, No, No
Business, tSalesforceGetUpdated, Yes, No, No, No, No, No
Business, tSalesforceInput, Yes, No, No, No, No, No
Business, tSalesforceOutput, Yes, No, No, No, No, No
Business, tSalesforceOutputBulk, Yes, No, No, No, No, No
Business, tSalesforceOutputBulkExec, Yes, No, No, No, No, No
Business, tSAPADSOInput, Yes, No, No, No, No, No
Business, tSAPBapi, Yes, No, No, No, No, No
Business, tSAPBWInput, Yes, No, No, No, No, No
Business, tSAPCommit, Yes, No, No, No, No, No
Business, tSAPConnection, Yes, No, No, No, No, No
Business, tSAPDataSourceOutput, Yes, No, No, No, No, No
Business, tSAPDataSourceReceiver, Yes, No, No, No, No, No
Business, tSAPDSOInput, Yes, No, No, No, No, No
Business, tSAPDSOOutput, Yes, No, No, No, No, No
Business, tSAPIDocInput, Yes, No, No, No, No, No
Business, tSAPIDocOutput, Yes, No, No, No, No, No
Business, tSAPIDocReceiver, Yes, No, No, No, No, No
Business, tSAPInfoCubeInput, Yes, No, No, No, No, No
Business, tSAPInfoObjectInput, Yes, No, No, No, No, No
Business, tSAPInfoObjectOutput, Yes, No, No, No, No, No
Business, tSAPODPInput, Yes, No, No, No, No, No
Business, tSAPRollback, Yes, No, No, No, No, No
Business, tSAPTableInput, Yes, No, No, No, No, No
Business, tServiceNowConnection, Yes, No, No, No, No, No
Business, tServiceNowInput, Yes, No, No, No, No, No
Business, tServiceNowOutput, Yes, No, No, No, No, No
Business, tSugarCRMInput, Yes, No, No, No, No, No
Business, tSugarCRMOutput, Yes, No, No, No, No, No
Business, tVtigerCRMInput, Yes, No, No, No, No, No
Business, tVtigerCRMOutput, Yes, No, No, No, No, No
Business Intelligence, tBarChart, Yes, No, No, No, No, No
Business Intelligence, tDB2SCD, Yes, No, No, No, No, No
Business Intelligence, tDB2SCDELT, Yes, No, No, No, No, No
Business Intelligence, tGreenplumSCD, Yes, No, No, No, No, No
Business Intelligence, tInformixSCD, Yes, No, No, No, No, No
Business Intelligence, tIngresSCD, Yes, No, No, No, No, No
Business Intelligence, tJasperOutput, Yes, No, No, No, No, No
Business Intelligence, tJasperOutputExec, Yes, No, No, No, No, No
Business Intelligence, tJDBCSCDELT, Yes, No, No, No, No, No
Business Intelligence, tLineChart, Yes, No, No, No, No, No
Business Intelligence, tMondrianInput, Yes, No, No, No, No, No
Business Intelligence, tMSSqlSCD, Yes, No, No, No, No, No
Business Intelligence, tMysqlSCD, Yes, No, No, No, No, No
Business Intelligence, tMysqlSCDELT, Yes, No, No, No, No, No
Business Intelligence, tNetezzaSCD, Yes, No, No, No, No, No
Business Intelligence, tOracleSCD, Yes, No, No, No, No, No
Business Intelligence, tOracleSCDELT, Yes, No, No, No, No, No
Business Intelligence, tPaloCheckElements, Yes, No, No, No, No, No
Business Intelligence, tPaloClose, Yes, No, No, No, No, No
Business Intelligence, tPaloConnection, Yes, No, No, No, No, No
Business Intelligence, tPaloCube, Yes, No, No, No, No, No
Business Intelligence, tPaloCubeList, Yes, No, No, No, No, No
