Family, Component Name, Data Integration, Map/Reduce, Spark Batch, Spark Streaming, Storm, Camel
Authentication, tSetKeystore, No, No, Yes, Yes, No, No
AWS, cAWSConnection, No, No, No, No, No, Yes
AWS, cAWSS3, No, No, No, No, No, Yes
AWS, cAWSSES, No, No, No, No, No, Yes
AWS, cAWSSNS, No, No, No, No, No, Yes
AWS, cAWSSQS, No, No, No, No, No, Yes
Big Data, tBigQueryBulkExec, Yes, No, No, No, No, No
Big Data, tBigQueryInput, Yes, No, No, No, No, No
Big Data, tBigQueryOutput, Yes, No, No, No, No, No
Big Data, tBigQueryOutputBulk, Yes, No, No, No, No, No
Big Data, tBigQuerySQLRow, Yes, No, No, No, No, No
Big Data, tCassandraBulkExec, Yes, No, No, No, No, No
Big Data, tCassandraClose, Yes, No, No, No, No, No
Big Data, tCassandraConnection, Yes, No, No, No, No, No
Big Data, tCassandraInput, Yes, No, No, No, No, No
Big Data, tCassandraOutput, Yes, No, No, No, No, No
Big Data, tCassandraOutputBulk, Yes, No, No, No, No, No
Big Data, tCassandraOutputBulkExec, Yes, No, No, No, No, No
Big Data, tCassandraRow, Yes, No, No, No, No, No
Big Data, tCouchDBClose, Yes, No, No, No, No, No
Big Data, tCouchDBConnection, Yes, No, No, No, No, No
Big Data, tCouchDBInput, Yes, No, No, No, No, No
Big Data, tCouchDBOutput, Yes, No, No, No, No, No
Big Data, tDBFSConnection, Yes, No, No, No, No, No
Big Data, tDBFSGet, Yes, No, No, No, No, No
Big Data, tDBFSPut, Yes, No, No, No, No, No
Big Data, tDynamoDBInput, Yes, No, No, No, No, No
Big Data, tDynamoDBOutput, Yes, No, No, No, No, No
Big Data, tGSBucketCreate, Yes, No, No, No, No, No
Big Data, tGSBucketDelete, Yes, No, No, No, No, No
Big Data, tGSBucketExist, Yes, No, No, No, No, No
Big Data, tGSBucketList, Yes, No, No, No, No, No
Big Data, tGSClose, Yes, No, No, No, No, No
Big Data, tGSConnection, Yes, No, No, No, No, No
Big Data, tGSCopy, Yes, No, No, No, No, No
Big Data, tGSDelete, Yes, No, No, No, No, No
Big Data, tGSGet, Yes, No, No, No, No, No
Big Data, tGSList, Yes, No, No, No, No, No
Big Data, tGSPut, Yes, No, No, No, No, No
Big Data, tHBaseClose, Yes, No, No, No, No, No
Big Data, tHBaseConnection, Yes, No, No, No, No, No
Big Data, tHBaseInput, Yes, No, No, No, No, No
Big Data, tHBaseOutput, Yes, No, No, No, No, No
Big Data, tHCatalogInput, Yes, No, No, No, No, No
Big Data, tHCatalogLoad, Yes, No, No, No, No, No
Big Data, tHCatalogOperation, Yes, No, No, No, No, No
Big Data, tHCatalogOutput, Yes, No, No, No, No, No
Big Data, tHDFSCompare, Yes, No, No, No, No, No
Big Data, tHDFSConnection, Yes, No, No, No, No, No
Big Data, tHDFSCopy, Yes, No, No, No, No, No
Big Data, tHDFSDelete, Yes, No, No, No, No, No
Big Data, tHDFSExist, Yes, No, No, No, No, No
Big Data, tHDFSGet, Yes, No, No, No, No, No
Big Data, tHDFSInput, Yes, No, No, No, No, No
Big Data, tHDFSList, Yes, No, No, No, No, No
Big Data, tHDFSOutput, Yes, No, No, No, No, No
Big Data, tHDFSOutputRaw, Yes, No, No, No, No, No
Big Data, tHDFSProperties, Yes, No, No, No, No, No
Big Data, tHDFSPut, Yes, No, No, No, No, No
Big Data, tHDFSRename, Yes, No, No, No, No, No
Big Data, tHDFSRowCount, Yes, No, No, No, No, No
Big Data, tHiveClose, Yes, No, No, No, No, No
Big Data, tHiveConnection, Yes, No, No, No, No, No
Big Data, tHiveCreateTable, Yes, No, No, No, No, No
Big Data, tHiveInput, Yes, No, No, No, No, No
Big Data, tHiveLoad, Yes, No, No, No, No, No
Big Data, tHiveRow, Yes, No, No, No, No, No
Big Data, tImpalaClose, Yes, No, No, No, No, No
Big Data, tImpalaConnection, Yes, No, No, No, No, No
Big Data, tImpalaCreateTable, Yes, No, No, No, No, No
Big Data, tImpalaInput, Yes, No, No, No, No, No
Big Data, tImpalaLoad, Yes, No, No, No, No, No
Big Data, tImpalaOutput, Yes, No, No, No, No, No
Big Data, tImpalaRow, Yes, No, No, No, No, No
Big Data, tMapRDBClose, Yes, No, No, No, No, No
Big Data, tMapRDBConnection, Yes, No, No, No, No, No
Big Data, tMapRDBInput, Yes, No, No, No, No, No
