theme,url,img,lines,author
TRUE BEAUTY,/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://assets.passiton.com/quotes/quote_artwork/7746/medium/20240408_monday_quote.jpg,Beauty begins the moment you decide to be yourself.,<Author:0x00007fee76460e30>
CHARITY,/inspirational-quotes/8424-be-good-for-something-while-you-live-and-it-is,https://assets.passiton.com/quotes/quote_artwork/8424/medium/20240405_friday_quote.jpg,Be good for something while you live and it is in your power.,<Author:0x00007fee764c8da0>
CHARITY,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20240404_thursday_quote.jpg,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007fee764aba70>
CHARITY,/inspirational-quotes/8399-as-we-work-to-create-light-for-others-we,https://assets.passiton.com/quotes/quote_artwork/8399/medium/20240403_wednesday_quote.jpg,"As we work to create light for others, we naturally light our own way.",<Author:0x00007fee765022a8>
CHARITY,/inspirational-quotes/8423-you-have-not-lived-today-until-you-have-done,https://assets.passiton.com/quotes/quote_artwork/8423/medium/20240402_tuesday_quote.jpg,You have not lived today until you have done something for someone who can never repay you.,<Author:0x00007fee764e8ba0>
CHARITY,/inspirational-quotes/7630-those-who-are-happiest-are-those-who-do-the,https://assets.passiton.com/quotes/quote_artwork/7630/medium/20240401_monday_quote.jpg,Those who are happiest are those who do the most for others.,<Author:0x00007fee764d0870>
PEACE,/inspirational-quotes/7583-peace-begins-with-a-smile,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20240329_friday_quote.jpg,Peace begins with a smile.,<Author:0x00007fee7652ab68>
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20240328_thursday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow.,<Author:0x00007fee76511d20>
PEACE,/inspirational-quotes/7429-peace-like-charity-begins-at-home,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20240327_wednesday_quote.jpg,"Peace, like charity, begins at home.",<Author:0x00007fee76573ae8>
PEACE,/inspirational-quotes/6962-when-we-have-peace-in-our-hearts-and-minds-we,https://assets.passiton.com/quotes/quote_artwork/6962/medium/20240326_tuesday_quote.jpg,"When we have peace in our hearts and minds, we draw peace into our lives.",<Author:0x00007fee7655a8b8>
